SIM_channels,HCT_12C_1,HCT_12C_2,HCT_12C_3,WiDr_12C_1,WiDr_12C_2,WiDr_12C_3,HCT_1-13C_Gluc_1,HCT_1-13C_Gluc_2,HCT_1-13C_Gluc_3,WiDr_1-13C_Gluc_1,WiDr_1-13C_Gluc_2,WiDr_1-13C_Gluc_3,HCT_U-13C_Gluc_1,HCT_U-13C_Gluc_2,HCT_U-13C_Gluc_3,WiDr_U-13C_Gluc_1,WiDr_U-13C_Gluc_2,WiDr_U-13C_Gluc_3,HCT_U-13C_GLN_1,HCT_U-13C_GLN_2,HCT_U-13C_GLN_3,WiDr_U-13C_GLN_1,WiDr_U-13C_GLN_2,WiDr_U-13C_GLN_3
Ala[M-57]_M+0,216670,202513,277577,198023,142795,340038,143724,136294,129930,180691,139257,145025,38027,34102,38218,27520,28053,31355,48310,243528,262436,300566,352003,269178
Ala[M-57]_M+1,48523,45957,63445,44512,32954,78026,127717,122262,116748,160636,120271,123950,10596,9367,10102,6999,6934,7814,11137,56540,60870,68284,79640,61972
Ala[M-57]_M+2,20119,19050,26219,18548,13753,31481,33464,31829,30818,42246,31580,31923,9679,9104,9539,7032,7804,6817,5131,25513,26901,30083,34195,27305
Ala[M-57]_M+3,4638,3420,4499,3101,2272,5001,10861,10005,10042,13741,10142,10572,257210,231785,263068,222426,243388,259151,3922,19940,20898,20026,22726,17867
Ala[M-57]_M+4,285,577,859,610,506,1009,1461,1440,1362,1967,1530,1562,48746,44499,50734,43565,46898,49730,775,3650,4196,3915,4553,3461
Ala[M-57]_M+5,0,0,0,17009,17332,19002,0,0,0,23664,21307,21730,44454,41772,44496,40962,42283,47777,0,0,0,26915,0,0
Ala[M-57]_M+6,0,0,0,3471,3217,3845,0,0,0,4254,4211,4239,7287,6425,6591,6379,7073,7445,0,0,0,4911,0,0
Asp[M-57]_M+0,218272,261164,382358,215883,158127,361674,514717,417583,452614,658308,509892,455408,487406,455527,505839,511845,573450,557370,14857,46723,49760,72829,74664,61367
Asp[M-57]_M+1,75542,92626,136048,77864,56881,127553,217152,175514,192285,273403,213559,190730,177918,168266,185682,185214,208492,202492,8531,32526,36966,41790,43055,34194
Asp[M-57]_M+2,35790,43456,63556,36624,26081,60309,100181,80739,87648,125451,97463,87308,143200,136549,151792,124611,149857,142022,19642,84263,95278,89764,91569,72877
Asp[M-57]_M+3,9112,10738,15116,8803,6528,14609,26859,21955,23694,33267,25964,23157,60197,57538,64279,59971,74678,69502,21232,89065,99051,164759,161874,131455
Asp[M-57]_M+4,2409,2602,4316,2369,1835,3592,6075,5131,5942,8101,6168,5415,23818,22049,24311,20702,28953,24554,98872,427681,474366,556294,547178,441076
Asp[M-57]_M+5,664,634,1015,950,250,822,2225,1095,954,1572,1224,1069,6340,6944,7044,7069,9519,8166,31685,136224,150015,181502,177382,142461
Asp[M-57]_M+6,0,129,268,0,0,0,0,0,0,0,0,0,1683,1652,1641,1691,2072,1853,14664,62907,69572,82371,80832,64532
Asp[M-57]_M+7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3281,13856,15486,17692,18258,12871
Glu[M-57]_M+0,740973,962648,1611238,675649,507398,1239201,2455780,2132320,2188015,1827801,1425534,1354688,2248604,2068384,2301143,1502479,1606221,1622602,13636,75609,83298,52028,57042,44493
Glu[M-57]_M+1,271205,356049,590903,248328,186236,452719,1062027,912690,945066,754149,586737,558093,843286,771532,861610,556670,597086,599945,11474,65552,73374,35445,39861,30334
Glu[M-57]_M+2,126418,163205,273567,115090,85885,210374,488552,420745,436973,348679,271515,256421,692571,646949,734939,373980,429388,418122,12203,80164,89438,46497,50797,38789
Glu[M-57]_M+3,33357,43716,72554,30787,22666,56465,145116,124740,128641,100172,78520,72538,251064,234872,267977,123194,142481,137024,55371,362605,405296,198106,216172,167242
Glu[M-57]_M+4,8260,10769,17534,7165,5820,13475,35978,30840,32258,24472,19241,17712,126548,118601,135219,53827,67684,62326,32049,208149,230299,142950,155369,121058
Glu[M-57]_M+5,1372,1820,3866,1430,1196,2332,7936,7349,6618,4594,4182,3432,43363,40123,45825,19183,24715,21840,347280,2271023,2480056,2083297,2269957,1721982
Glu[M-57]_M+6,314,342,713,238,209,402,1548,1571,1216,920,680,480,13335,12270,14601,5670,7822,6527,108566,712980,773638,653996,711839,540300
Glu[M-57]_M+7,0,0,0,0,0,0,0,0,0,0,0,0,3581,3420,3550,1340,1906,1812,51512,341592,370393,314013,341601,259135
Glu[M-57]_M+8,0,0,0,0,0,0,0,0,0,0,0,0,1800,872,964,0,0,318,11812,73619,79018,67432,73353,55646
Pro[M-57]_M+0,5651,6355,7384,48569,34825,58212,4589,3403,3105,57579,47958,47253,4235,3935,3978,52026,46461,56631,827,3197,2604,8774,9084,5967
Pro[M-57]_M+1,1605,1699,1757,12535,8434,14860,1432,1147,933,17184,14547,13775,1332,1004,1240,13269,11574,14894,621,870,1015,3039,3048,2216
Pro[M-57]_M+2,0,0,0,4827,3269,5511,1636,1402,0,6444,5219,5121,4447,2791,652,8601,8227,9454,1952,11499,12638,2160,1759,1337
Pro[M-57]_M+3,0,0,0,911,566,1013,834,594,0,1316,1196,1151,206,467,1149,2292,2123,2787,0,537,0,5832,5497,4114
Pro[M-57]_M+4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,321,769,0,0,0,2075,2057,1553
Pro[M-57]_M+5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729,1526,1400,55100,51158,38892
Pro[M-57]_M+6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,263,367,10765,9977,7716
Pro[M-57]_M+7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,5013,4627,3719
Pro[M-57]_M+8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,1033,750,562
Gly[M-57]_M+0,1648919,1764899,2232362,492933,355775,914218,2930321,2852939,2567313,1324161,1008990,1025995,2921031,2711591,3003393,1154549,1165754,1213234,437634,3030893,3080667,1479759,1851394,1277862
Gly[M-57]_M+1,358458,383536,485136,107635,78404,200405,639095,621403,561033,289512,221505,222517,638920,594205,658610,251893,255438,265362,95247,660275,671816,321947,403494,278443
Gly[M-57]_M+2,151636,161261,205787,45500,32645,83978,272726,265908,236356,122025,93475,94592,367498,342055,383494,112301,116716,118997,40828,280267,285718,137566,170663,118105
Gly[M-57]_M+3,25913,22561,32074,6733,6857,12605,38827,37424,34183,17395,13195,14224,60018,54955,59978,16348,17548,16899,6651,39887,40841,20035,24412,16729
